Unnamed: 0,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner,keyword,id,id_mod,id_mod2
9575,3220000-101-2021-01230,2021-10-14,영업/정상,158.70,135-840,서울특별시 강남구 대치동 896-9,서울 강남구 선릉로86길 28,뼈다귀감자탕 선릉역점,한식,204533.70704544,444597.741820401,,,대치동,,뼈다귀감자탕 선릉역,['103781687'], , 
9576,3220000-101-2021-01233,2021-10-14,영업/정상,83.00,135-897,서울특별시 강남구 신사동 653-4 솔미빌딩,서울 강남구 도산대로51길 19,앤드트리(ANDTREE),출장조리,203259.178893231,446910.789995691,,,신사동,,앤드트리,['939318233'],820669377,820669377
9577,3220000-101-2021-01234,2021-10-14,영업/정상,768.19,135-892,서울특별시 강남구 신사동 580-5,서울 강남구 논현로175길 6,사브서울(Sav Seoul)/와인나라 압구정점,기타,202384.176863802,447119.938253719,,,신사동,,사브서울,['2080612804'],302504172,302504172
9578,3220000-101-2021-01235,20211015,영업/정상,171.79,135090,서울특별시 강남구 삼성동 159-8 파르나스타워 ,서울 강남구 테헤란로 521,치즈룸×멜팅샵 파르나스몰점,"외국음식전문점(인도,태국등)",205314.159889285,445204.709309676,,,삼성동,,치즈룸×멜팅샵 파르나스몰,['1486976026'],1568052244,1568052244
9579,3220000-101-2021-01236,20211015,영업/정상,39.90,135957,서울특별시 강남구 청담동 131-8 ,서울 강남구 영동대로138길 23,투바이투,일식,204885.517440357,446822.702275976,,,청담동,,투바이투,['221287732'],703375738,703375738
9580,3220000-101-2021-01237,20211015,영업/정상,52.00,135939,서울특별시 강남구 개포동 12-4 석탑프라자 ,서울 강남구 개포로 615,비비큐BBQ 개포대청역점,호프/통닭,206618.425209149,443390.560639694,,,개포동,,비비큐BBQ 개포대청역,['1377334197'],21237257,21237257
9581,3220000-101-2021-01238,2021-10-15,영업/정상,70.00,135-917,서울특별시 강남구 역삼동 697-9 남산빌딩,서울 강남구 테헤란로53길 21,우리할매떡볶이 선릉점,분식,204035.383587484,444820.694180399,,,역삼동,,우리할매떡볶이 선릉,,1117473795,1117473795
9582,3220000-101-2021-01241,20211015,영업/정상,163.29,135896,서울특별시 강남구 신사동 648-23 ,서울 강남구 압구정로46길 71-1,와인소셜,기타,203183.933482119,446875.738387109,,,신사동,,와인소셜,,757707895,757707895
9583,3220000-101-2021-01242,20211018,영업/정상,60.92,135842,서울특별시 강남구 대치동 977,서울 강남구 도곡로93길 23,커피인류 대치르엘점,기타,205662.450166113,444415.500613808,,,대치동,,커피인류 대치르엘,,1910531581,1910531581
9584,3220000-101-2021-01243,20211018,영업/정상,186.01,135897,서울특별시 강남구 신사동 651-2 ,서울 강남구 도산대로45길 10-2,보야저,기타,203109.186099794,446759.433312304,,,신사동,,보야저,['1917339424'],1953185600,1953185600
