,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner
9255,3220000-101-2021-00686,20210607,영업/정상,93.95,135829,서울특별시 강남구 논현동 217-39 ,"서울특별시 강남구 언주로125길 11, 지상2층 (논현동)",공존(편안하개),한식,202969.819092284    ,445625.761107316    ,,,논현동,
9256,3220000-101-2021-00687,20210607,영업/정상,62.70,135888,서울특별시 강남구 신사동 517-12 ,"서울특별시 강남구 강남대로156길 31-3, 지하1층 (신사동)",이자카야 화분,일식,201832.629261938    ,446301.312200625    ,,,신사동,
9257,3220000-101-2021-00688,20210607,영업/정상,35.02,135884,서울특별시 강남구 수서동 714 로얄프라자,"서울특별시 강남구 광평로51길 8, 로얄프라자 지상1층 107호 (수서동)",영계소문옛날통닭(수서점),호프/통닭,208992.862909059,442912.82755506,,,수서동,
9258,3220000-101-2021-00689,20210607,영업/정상,268.80,135952,서울특별시 강남구 청담동 53-3,"서울특별시 강남구 학동로97길 74, 지하2층 (청담동)",텔레그램,호프/통닭,204620.053302767,446888.448459943,,,청담동,
9259,3220000-101-2021-00693,2021-06-08,영업/정상,35.58,135-911,서울특별시 강남구 역삼동 646-5,"서울특별시 강남구 강남대로94길 88, 지상1층 102호 (역삼동)",강남어시장,한식,202962.680670131,444283.190421932,,,역삼동,모범식당지정
9260,3220000-101-2021-00697,20210608,영업/정상,176.44,135920,서울특별시 강남구 역삼동 719-35 IS빌딩 ,"서울특별시 강남구 테헤란로38길 10, IS빌딩 지상1층 (역삼동)",로스트엔트리,기타,203590.179986878    ,444338.108153633    ,,,역삼동,
9261,3220000-101-2021-00698,20210608,영업/정상,194.13,135931,서울특별시 강남구 역삼동 817-23 ,"서울특별시 강남구 테헤란로1길 28-14, 지상1층 101호,102호 (역삼동)",낭만 짚불구이,식육(숯불구이),202446.792701119    ,444240.854953996    ,,,역삼동,
9262,3220000-101-2021-00700,20210608,영업/정상,46.00,135958,서울특별시 강남구 청담동 133-6 ,"서울특별시 강남구 학동로101길 7, 지상1층 107호 (청담동)",골뱅이하우스,호프/통닭,205024.620583807    ,446516.758470942    ,,,청담동,
9263,3220000-101-2021-00701,20210608,영업/정상,127.24,135897,서울특별시 강남구 신사동 657-36 ,"서울특별시 강남구 선릉로157길 13, 지하1층 (신사동)",오르빗,경양식,203354.385710261    ,447075.241248017    ,,,신사동,
9264,3220000-101-2021-00703,20210608,영업/정상,36.00,135964,서울특별시 강남구 개포동 1230-9 ,"서울특별시 강남구 논현로16길 17, 지상1층 104호 (개포동)",진가네,한식,204154.815170277    ,441626.80984689     ,,,개포동,
9265,3220000-101-2021-00705,20210609,영업/정상,48.90,135929,서울특별시 강남구 역삼동 790-9 ,"서울특별시 강남구 논현로 337, 지하1층 B102호 (역삼동)",디너플렉스,기타,203396.63           ,443670.52           ,,,역삼동,
